Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
34;AnyRidge Abutment Multi-unit Angled Abutment 17 degrees;Cuff Height (mm):select:1, Type:select:1;1.0:1, Hex:1;;AANMUH50117L;;;;0;;1000;1;0;1;;;;0;1;0;0;0
34;AnyRidge Abutment Multi-unit Angled Abutment 17 degrees;Cuff Height (mm):select:1, Type:select:1;2.0:2, Hex:1;;AANMUH50217L;;;;0;;1000;1;0;1;;;;0;1;0;0;0
34;AnyRidge Abutment Multi-unit Angled Abutment 17 degrees;Cuff Height (mm):select:1, Type:select:1;3.0:3, Hex:1;;AANMUH50317L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
34;AnyRidge Abutment Multi-unit Angled Abutment 17 degrees;Cuff Height (mm):select:1, Type:select:1;4.0:4, Hex:1;;AANMUH50417L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
34;AnyRidge Abutment Multi-unit Angled Abutment 17 degrees;Cuff Height (mm):select:1, Type:select:1;1.0:5, Non-Hex:1;;AANMUN50117L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
34;AnyRidge Abutment Multi-unit Angled Abutment 17 degrees;Cuff Height (mm):select:1, Type:select:1;2.0:6, Non-Hex:1;;AANMUN50217L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
34;AnyRidge Abutment Multi-unit Angled Abutment 17 degrees;Cuff Height (mm):select:1, Type:select:1;3.0:7, Non-Hex:1;;AANMUN50317L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
34;AnyRidge Abutment Multi-unit Angled Abutment 17 degrees;Cuff Height (mm):select:1, Type:select:1;4.0:7, Non-Hex:1;;AANMUN50417L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
35;AnyRidge Abutment Multi-unit Angled Abutment 29 degrees;Cuff Height (mm):select:1, Type:select:1;1.0:1, Hex:1;;AANMUH50129L;;;;0;;1000;1;0;1;;;;0;1;0;0;0
35;AnyRidge Abutment Multi-unit Angled Abutment 29 degrees;Cuff Height (mm):select:1, Type:select:1;2.0:2, Hex:1;;AANMUH50229L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
35;AnyRidge Abutment Multi-unit Angled Abutment 29 degrees;Cuff Height (mm):select:1, Type:select:1;3.0:3, Hex:1;;AANMUH50329L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
35;AnyRidge Abutment Multi-unit Angled Abutment 29 degrees;Cuff Height (mm):select:1, Type:select:1;4.0:4, Hex:1;;AANMUH50429L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
35;AnyRidge Abutment Multi-unit Angled Abutment 29 degrees;Cuff Height (mm):select:1, Type:select:1;1.0:5, Non-Hex:1;;AANMUN50129L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
35;AnyRidge Abutment Multi-unit Angled Abutment 29 degrees;Cuff Height (mm):select:1, Type:select:1;2.0:6, Non-Hex:1;;AANMUN50229L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
35;AnyRidge Abutment Multi-unit Angled Abutment 29 degrees;Cuff Height (mm):select:1, Type:select:1;3.0:7, Non-Hex:1;;AANMUN50329L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
35;AnyRidge Abutment Multi-unit Angled Abutment 29 degrees;Cuff Height (mm):select:1, Type:select:1;4.0:7, Non-Hex:1;;AANMUN50429L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
36;AnyRidge Abutment Multi-unit Abutment Straight;Cuff Height (mm):select:1, Type:select:1;2.0:1, Hex:1;;AANMUH5020T;;;;0;;1000;1;0;1;;;;0;1;0;0;0
36;AnyRidge Abutment Multi-unit Abutment Straight;Cuff Height (mm):select:1, Type:select:1;3.0:2, Hex:1;;AANMUH5030T;;;;0;;1000;1;0;0;;;;0;1;0;0;0
36;AnyRidge Abutment Multi-unit Abutment Straight;Cuff Height (mm):select:1, Type:select:1;4.0:3, Hex:1;;AANMUH5040T;;;;0;;1000;1;0;0;;;;0;1;0;0;0
36;AnyRidge Abutment Multi-unit Abutment Straight;Cuff Height (mm):select:1, Type:select:1;5.0:4, Hex:1;;AANMUH5050T;;;;0;;1000;1;0;0;;;;0;1;0;0;0
36;AnyRidge Abutment Multi-unit Abutment Straight;Cuff Height (mm):select:1, Type:select:1;2.0:5, Non-Hex:1;;AANMUN5020T;;;;0;;1000;1;0;0;;;;0;1;0;0;0
